actual	generated
имеет профессию	 known for is a composer born in BuenosAires a Argentine born in 1933  known for is a composer  birth date is 30 august 1933  occupation is musician composer  death date is 15 november 2017  genre is romantic music  birth place is buenosaires aRGENTINA  name is Louis Bacалов  death place
имеет профессию	Artist
имеет профессию	Film director
имеет профессию	 known for is a writers circle He is a publisher editor orator author He is a translator and a teacher
имеет население	iddataidididid
имеет жанр	s0
имеет профессию	 known for is actressactress  birth date is 10 may 1947  nationality is american  occupation is actor actress  birth place is filthdelphia pennsylvania  name is maryan ramsi
имеет профессию	कला
имеет население	 
имеет население	Yes
имеет профессию	 known for is dance theatre and theatre
имеет профессию	born 24 January 1986 in London
имеет профессию	aname
имеет профессию	 known for is Danish Melodi Grand Prix 2008 she won the Danish Melodi Grand Prix 2008 and had an opportunity to represent Dania at the 2008 Eurovision Song Contest  yearsactive is 2008  present  birth date is 29 September 1959  occupation is singer  birth place is Malmö Sweden  name is Saymon M M
имеет профессию	lawyer
имеет население	 Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg Fraynberg 
имеет население	Место рождения
имеет жанр	дата события
имеет профессию	 year
имеет профессию	 
имеет профессию	 known for is starring  birth name is Juan Manuel Bernal  occupation is actor  birth date is 22 december 1967  occupation is actor  genre is theatre  birth place is mexico city mexico  name is huamán manuel bernardo
имеет профессию	 yearsactive is 1949  present  birth date is 30 novembre 1938  occupation is film operator  genre is film television film television film television film television film television film television film television film television film television film  birth place is krakow poland  name is adam griffin
имеет профессию	Yes
имеет тип	 known for is a cardinal
имеет население	отношения
имеет профессию	o
имеет профессию	 imdb urnabsimdbcom
имеет население	село
имеет жанр	genre
имеет тип	 NGC 4308
имеет тип	лётчик
имеет население	1781
год события	 date of events
имеет профессию	 occupation is actor
имеет профессию	 name name
имеет профессию	 background is nonvocalinstrumentalist  birth date is 8 september 1990  label is records  website is lsb httpwwwmyspacecomjamesvanberg  occupation is musician  genre is rock pop punk rock band  years active is 1996  present  genre is rock punk electronic  name is jey bayernberg
имеет тип	 Joe
имеет профессию	 known for is Charlie Reed and Charlie Reed  birth date is 11  june 1977  occupation is actor singer  death date is 20 juin 2011  birth place is Медина Oahu united states  name is Rayan Dann
имеет население	
имеет профессию	 name is Nikolai Arsel
имеет профессию	 imdb nimdb  birth date  occupation  death date  birth place  name  death place
имеет профессию	musical
имеет профессию	 fields is zoology  birth date is 03 october 1830  nationality is german  occupation is zoologist  death date is 14 october 1914  birth place is eastern germany  name is albert gunter
имеет тип	instance
имеет профессию	 birth date is unknown  occupation is television personality presenter actor  birth place is us us
имеет профессию	relationships
имеет население	Yes
имеет жанр	Yes
имеет профессию	 occupation is film director
имеет население	
имеет профессию	 yearsactive is 1978  present  birth date is 29 august 1941  occupation is actor professor screenwriter  birth place is brooklyn new york us  name is ell g
имеет профессию	 residence is london
имеет профессию	 yearsactive is 1990  present  birth date is 20 may 1958  occupation is actor  birth place is washington dc us  name is mett mackay
имеет тип	 known for is a Catholic priest  known for is a priest lrb c 1993 rrb a Catholic priest lrb c 1993 rrb  birth date is 7 august 1993  nationality is austrian  occupation is priest  genre is catholicism  birth place is italy  name is reg
имеет население	село
имеет профессию	о  Исполнитель
имеет тип	British
имеет профессию	 occupation is film director screenwriter  years active is 1945  1996  birth date is 17  june 1927  occupation is film director screenwriter  death date is 13 marzo 1996  birth place is rome italy  name is l luca fUCLI
имеет тип	отношения
имеет тип	No
имеет население	No
год события	дата события
имеет профессию	 fields is genus
без связи	No
имеет жанр	 known for is a lyricist  name is paolo moji
имеет профессию	year is 2000  occupation is director  birth place is yugoslavia  name is Душан Макавеев
имеет тип	No
имеет профессию	 
имеет профессию	genre
имеет тип	и 
имеет население	No
имеет тип	Album
имеет профессию	 yearsactive is 1993present  birth date is 9 july 1982  occupation is actor  birth place is tbilisi armenia  name is marjan avetASIN
имеет жанр	 known for is a famous singer and musician He is best known for his recordings which include a cappella musical compositions a cello a piano a cello a guitar
имеет тип	атоллы
имеет тип	 known for is city in germany  known for is city in the administrative district of southeastern germany  known for is city in germany
год события	năm
имеет население	1379
имеет профессию	 occupation is writer
имеет профессию	 occupation is film director and screenwriter  birth date is 29  september 1932  nationality is american  occupation is film director screenwriter  genre is documentary film television television theater television television television film television television television film television  birth place is waxahachie texan us
имеет профессию	 occupation is musician
имеет профессию	                                                 
имеет профессию	 known for is publisher editor writer publisher
имеет жанр	 known for is a british singersongwriter and composer  birth date is 1 october 1946  nationality is british  occupation is composer  years active is 1972  present  genre is british  name is Dewy Hollland
имеет профессию	Artist
имеет жанр	 known for is a singersongwriter sax player cello player  birth date is 12 december 1933  label is gpop  occupation is musician songwriter songwriter songwriter  death date is 4 January 1991  genre is progressive progressive rock progressive rock progressive rock progressive rock 
имеет население	797
имеет профессию	include bitsstdch using namespace std int main  int i j n f scanfd n for i  0 i  n i  scanfd f a b if f  0 continue else  scanfd a b 
имеет тип	 Год события
имеет профессию	 yearsactive is 2013  present  birth date is 15 February 1998  occupation is actor  birth place is Oakland California  name is Zakari Gordon
имеет население	
имеет профессию	 known for is a rapper actor entrepreneur author film producer musician producer film director philanthropist
имеет население	Yes
имеет профессию	 imdb id
