premise_en,premise_fr,premise_ru,hypothesis_en,hypothesis_fr,hypothesis_ru,label
"I don 't mean to be glib about your concerns , but if I were you , I might be more concerned about the near-term rate implications of this $ 1 .","Je ne veux pas être désinvolte à propos de vos préoccupations , mais si j' étais vous , je serais peut-être plus préoccupé par les implications à court terme de ces 1 dollars .","Я не хочу говорить о ваших проблемах , но если бы я был вами , я мог бы быть больше обеспокоен тем , что эти 1. долларов будут иметь последствия .",I am concerned more about your issues than the near-term rate implications .,Je m' inquiète davantage de vos problèmes que des implications à court terme .,"Я больше беспокоюсь о ваших проблемах , чем о последствиях для ближайшей жизни .",2
Issues in Data Synthesis .,Questions relatives à la synthèse des données .,"Вопросы , связанные с обобщением данных .",Problems in data synthesis .,Problèmes de synthèse des données .,Проблемы в обобщении данных .,0
well you see that on television also,Eh bien tu vois ça à la télévision aussi,"Ну вы видите , что на телевидении тоже","You can see that on television , as well .",Vous pouvez voir ça à la télévision aussi .,Это тоже видно по телевизору .,0
Vrenna and I both fought him and he nearly took us .,Vrenna et moi l' avons combattu et il a failli nous prendre .,"Мы с крису дрались с ним , и он почти забрал нас .",Neither Vrenna nor myself have ever fought him .,"Ni Vrenna , ni moi-même ne l' avons jamais combattu .","Ни крису , ни я никогда не сражались с ним .",2
This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis .,Cette analyse a regroupé les estimations de ces deux études pour développer une fonction c-R reliant les particules à la bronchite chronique .,"В результате этого анализа были объединены оценки этих двух исследований с целью разработки функции с-R , связывающей тч с хроническим бронхит .",The analysis proves that there is no link between PM and bronchitis .,L' analyse prouve qu' il n' y a pas de lien entre le pm et la bronchite .,"Анализ доказывает , что нет связи между ПМ и бронхит .",2
He turned and smiled at Vrenna .,Il s' est retourné et a souri à vrenna .,Он повернулся и улыбнулся на .,He smiled at Vrenna who was walking slowly behind him with her mother .,Il sourit à vrenna qui marchait lentement derrière lui avec sa mère .,"Он улыбнулся крису , который медленно шёл за ним со своей матерью .",1
We sought to identify practices that were commonly implemented by the agencies within the past 5 years .,Nous avons cherché à identifier les pratiques qui étaient généralement mises en œuvre par les organismes au cours des 5 dernières années .,"Мы стремились выявить практику , которая , как правило , осуществляется учреждениями за последние 5 лет .",We want to identify practices commonly used by agencies in the last 5 years,Nous voulons identifier les pratiques couramment utilisées par les agences au cours des 5 dernières années .,"Мы хотим определить практику , которая обычно используется учреждениями за последние 5 лет .",0
The other men shuffled .,Les autres hommes se sont mélangés .,Другие люди праотцам .,The other men were shuffled around .,Les autres hommes ont été mélangés .,Другие люди были праотцам .,0
States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas .,Les États doivent faire preuve d' un progrès raisonnable dans leurs plans de mise en œuvre de l' état en faveur de l' objectif fixé par le congrès de revenir aux conditions naturelles dans les parcs nationaux et les zones sauvages .,Государства должны продемонстрировать разумный прогресс в осуществлении своих планов осуществления государствами в целях достижения поставленной цели - вернуться к природным условиям в национальных парках и диких районах .,Itis not necessary for there to be any improvement .,Il n' est pas nécessaire qu' il y ait une amélioration .,"Нет необходимости в том , чтобы там было какое-то улучшение .",2
well it 's been very interesting,"Eh bien , ça a été très intéressant .",Ну это было очень интересно,It has been very intriguing .,Ça a été très intrigant .,Это было очень интригующе .,0
He started slowly back to the bunkhouse .,Il a commencé à retourner au dortoir .,Он медленно вернулся в в.,He returned slowly to the bunkhouse .,Il revint lentement au dortoir .,Он медленно вернулся в в.,0
and it 's it 's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we 're in a particular part of the state that 's pretty well off so it 's it 's like we get a lot of that back as far as local taxation goes,"Et C' est un peu un peu je pense que six quelque chose c' est l' état et que le reste de la tarte va ailleurs mais nous sommes dans une partie particulière de l' état qui est plutôt bien parti donc c' est ça "" C' est comme si on en avait beaucoup pour la fiscalité locale .","И это совсем немного , я думаю , что шесть что-то есть государство , а остальные пироги идут куда-то еще , но мы в той или иной части штата , которая довольно хорошо сходит с ума , так что это как будто мы много получаем . Из-за того , что местное налогообложение идет .",I do not know exactly where the local taxes go .,Je ne sais pas exactement où vont les impôts locaux .,"Я не знаю точно , куда идут местные налоги .",1
"They 're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors , who came here in the early 17th century as part of an official repopulation scheme .","Ils sont faits d' une recette secrète transmise aux villageois actuels par leurs ancêtres de Majorque , qui sont venus ici au début du 17 ème siècle dans le cadre d' un programme officiel de repeuplement .","Они сделаны из секретного рецепта , который был передан жителям нынешнего дня их майорканских предками , которые прибыли сюда в начале 17-го века в рамках официальной схемы возрождения человечества .",The recipe passed down from Mallorcan ancestors is known to everyone .,La recette transmise par les ancêtres de Majorque est connue de tout le monde .,"Рецепт , прошло от майорканских предков , известен всем .",2
yeah well you 're a student right,Ouais bien tu es un étudiant droit,Да ну ты студент прям,Well you 're a mechanics student right ?,"Tu es un étudiant en mécanique , non ?","Ну , ты же студент-механик , да ?",1
it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it 's supposed to be like it 's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don 't know there 's just,J' ai entendu quelque chose qu' ils étaient censés lancer une énorme campagne à New York à propos de la maltraitance des enfants et de l' arrêt de la maltraitance des enfants et c' est censé être comme si ça commençait à être comme une grande campagne nationale et vous savez j' espère que ça va partir et faire quelque chose que je ne sais pas .,"На самом деле я слышал что-то , что они должны были начать огромную кампанию в Нью-Йорке о насилии над детьми и прекратить насилие над детьми , и это должно быть похоже на то , что это начинается там , как большая общенациональная кампания , и ты знаешь так , надеюсь , это может снять и действительно сделать что-то , чего я не знаю .",It 's unfortunate that nobody is organizing a child abuse campaign .,Il est regrettable que personne n' organise une campagne d' abus d' enfants .,"К сожалению , никто не организует кампанию по борьбе с детьми .",2
Postal Service were to reduce delivery frequency .,Le service postal devait réduire la fréquence de livraison .,Почтовая служба должна была сократить частоту доставки .,The postal service could deliver less frequently .,Le service postal pourrait livrer moins fréquemment .,Почтовая служба могла бы доставлять реже .,0
"And in another shift in the economy , it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer , more nutritious grazing land available there and as a result Lakeland farms became less profitable .","Et lors d' un autre changement dans l' économie , il a été constaté que l' agneau pouvait être élevé plus efficacement dans les fermes de plaine en partie en raison des pâturages plus riches et plus nutritifs disponibles là-bas et de ce fait , les exploitations de lakeland sont devenues moins rentables .","И в другой сдвиг в экономике было установлено , что ягненка можно было бы повысить более эффективно с точки зрения затрат на низменность фермах отчасти из-за более богатых , более питательных пастбищ , доступных там , и в результате лейкленд фермы стали менее выгодными .",Another shift in the economy was found to be more nutritious .,Un autre changement dans l' économie a été jugé plus nutritif .,"Было установлено , что еще один сдвиг в экономике является более питательной .",0
The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized .,La règle contient des exigences en matière de collecte d' informations qui permettront à l' epa de déterminer que les additifs détergents qui sont efficaces pour contrôler les dépôts sont utilisés et que les objectifs de contrôle des émissions sont réalisés .,"Это правило содержит требования в отношении сбора информации , которые позволят аоос определить , что добавок добавки , которые являются эффективными в контроле за вклады , используются и что цели контроля за выбросами будут реализованы .",The rule has data collection requirements which aid the EPA to realize their emission control goals .,La règle a des exigences en matière de collecte de données qui aident l' epa à réaliser ses objectifs de contrôle des émissions .,"Это правило содержит требования в отношении сбора данных , которые помогают аоос реализовать свои цели в области контроля за выбросами .",0
"Almost every hill has to the northeast there 's a Moorish fort ; no fewer than four ruined fortresses guard the harbour entrance ; and two more , still in good repair the Atalaya and Galeras castles protect the sea-front arsenal , of vital importance to Spain 's military .","Presque chaque colline a au Nord-est un fort maure ; pas moins de quatre forteresses ruinées garde l' entrée du port ; et deux autres , encore en bonne réparation les châteaux atalaya et galeras protègent l' Arsenal de la mer , d' une importance vitale pour l' Espagne de l' armée .","Почти каждый холм находится на северо-Востоке , там есть в Форт ; не менее четырех испортил крепости охраняют вход в гавань ; и еще два , все еще в хорошем ремонте в и галерас замки защищают морской арсенал , жизненно важное значение для Испании . Военные .",There are no castles Atalaya and Galeras .,Il n' y a pas de châteaux atalaya et galeras .,Нет замков atalaya и галерас .,2
Were they in there ?,Est-ce qu' ils étaient là ?,Они там были ?,Were they supposed to be in there ?,Étaient-ils censés être là-dedans ?,Они должны были быть там ?,1
"Felicia 's Journey takes place behind the eyes of its central a young Irish girl , Felicia , who crosses the sea to England in a hopeful quest to find the father of her unborn child ; and the fat , middle-aged catering manager , Hiditch , who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip .","Le voyage de Felicia se déroule derrière les yeux de sa jeune fille irlandaise , Felicia , qui traverse la mer vers l' Angleterre dans une quête d' espoir pour trouver le père de son enfant à naître ; et le gros chef de la restauration , hiditch , qui prend un intérêt paternel pour la jeune fille quand il devient clair que son jeune homme a caddishly lui a donné le lapsus .","Путешествие фелиция происходит за глазами ее центральной молодой ирландской девушки , фелиция , которая пересекает море в Англию в надежде найти отца ее нерожденного ребенка ; и толстяка , среднего возраста , менеджера по снабжению , hiditch , который берет отцовский интерес к девушке , когда становится ясно , что ее молодой человек дал ей в.",The woman did not care where the man was as long as it was far .,La femme se fiche de savoir où l' homme était aussi longtemps qu' il était loin .,"Женщине было все равно , где он был до тех пор , пока это было далеко .",2
"In the crypt are interred the remains of Voltaire and Rousseau , Hugo and Zola , assassinated Socialist leader Jean Jaurys , and Louis Braille , the inventor of the alphabet for the blind .","Dans la crypte sont enterrés les restes de Voltaire et Rousseau , Hugo et Zola , assassiné le leader socialiste Jean Jaurys , et louis braille , l' inventeur de l' alphabet pour les aveugles .","В склепе были похоронены останки вольтер и руссо , хьюго и золы , убили социалистического лидера жана jaurys и луиса Брайля , создателя алфавита для слепых .","The remains of Voltaire and Rousseau , Hugo and Zola , assassinated Socialist leader Jean Jaurys , and Louis Braille are all interred in the crypt .","Les restes de Voltaire et Rousseau , Hugo et Zola , assassiné le leader socialiste Jean Jaurys , et louis braille sont tous enterrés dans la crypte .","Останки Вольтер и руссо , хьюго и золы , убили социалистов-лидера жана jaurys , а Луи Брайля - все они были похоронены в склепе .",0
there 's a uh a couple called um oh i 'm going to forgot his name now uh Dirkson,Il y a un couple appelé um oh je vais oublier son nom maintenant euh dirkson,"Есть пара , которая называется я собираюсь забыть его имя сейчас",I can 't remember their name,Je ne me souviens pas de leur nom .,Я не могу вспомнить их имя .,0
"Poirot , I exclaimed , with relief , and seizing him by both hands , I dragged him into the room .","Poirot , j' ai dit , avec soulagement , et je l' ai saisi par les deux mains , je l' ai traîné dans la pièce .","Пуаро , я сказал с облегчением , захватив его обеими руками , я затащила его в комнату .",Poirot was now back and I was sorry that he would take over what I now considered my own investigation .,Poirot était de retour et j' étais désolé qu' il prenne ce que j' ai considéré comme ma propre enquête .,"Пуаро вернулся , и мне жаль , что он взял на себя то , что я сейчас считаю своим собственным расследованием .",2
"The word aswan actually means trade or market in ancient Egyptian , signifying its most pre-eminent activity .","Le mot assouan signifie en fait le commerce ou le marché dans l' ancien égyptien , ce qui signifie son activité la plus pré .","Слово асуан фактически означает торговлю или рынок в древнем Египте , что свидетельствует о его наиболее до деятельности .",Aswan 's meaning has not changed over time .,Le sens d' assouan n' a pas changé avec le temps .,Смысл асуан не изменился со временем .,2
well what the market can bear and,Bien ce que le marché peut supporter et,Ну что рынок может нести и,THe market can 't bear any of it .,Le marché ne peut en supporter aucun .,Рынок не может вынести ничего из этого .,2
"And to show just how fast Japan 's new rulers were catching on , two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy .","Et pour montrer à quelle vitesse les nouveaux dirigeants du Japon étaient en train de s' arrêter , deux expéditions punitives ont été lancées contre la Corée et la Chine dans le grand sens de la diplomatie de la canonnière du 19 ème siècle .","И чтобы показать , как быстро начали поймать новые правители Японии , были запущены две карательные экспедиции против Кореи и Китая в духе дипломатии 19-го века .",Japan 's new rulers were catching on quickly .,Les nouveaux dirigeants du Japon se attraper rapidement .,Новые правители Японии быстро поймать .,0
"When the trust fund begins running cash deficits in 2016 , the government as a whole must come up with the cash to finance Social Security 's cash deficit by reducing any projected non-Social Security surpluses , borrowing from the public , raising other taxes , or reducing other government spending .","Lorsque le fonds d' affectation spéciale commence à faire face à des déficits de trésorerie en 2016 , le gouvernement dans son ensemble doit fournir les liquidités nécessaires pour financer le déficit de trésorerie de la sécurité sociale en réduisant les excédents de sécurité non sociale prévus , les emprunts auprès du public , la levée d' autres impôts . , ou réduire les autres dépenses publiques .","Когда в 2016 году в целевой фонд начнет бегать дефицит денежной наличности , правительство в целом должно получить наличные средства для финансирования дефицита денежной наличности социального обеспечения за счет сокращения любых прогнозируемых остатков средств по линии социального обеспечения , заимствования у общественности , увеличения других налогов , или сокращение других государственных расходов .",The public would generally prefer to see the government reduce its spending in other areas to finance Social Security .,Le public préférerait généralement que le gouvernement réduise ses dépenses dans d' autres domaines pour financer la sécurité sociale .,"Общественность в целом предпочла бы , чтобы правительство сокращения свои расходы в других областях для финансирования социального обеспечения .",1
These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment .,Ces organisations investissent le temps et les efforts nécessaires pour comprendre leurs processus et la manière dont ces processus contribuent ou entravent la réalisation des missions .,"Эти организации вкладывают время и усилия для понимания своих процессов и того , каким образом эти процессы способствуют достижению целей миссии или препятствуют их достижению .",These organizations invest lots of time to understand how some processes can contribute to or haampe,Ces organisations investissent beaucoup de temps pour comprendre comment certains processus peuvent contribuer ou hampe,"Эти организации вкладывают много времени , чтобы понять , каким образом некоторые процессы могут способствовать или hampe .",0
and it is nice talking to you all righty,Et C' est sympa de vous parler tous les deux .,И приятно говорить с тобой все хорошо .,I talk to you every day .,Je te parle tous les jours .,Я говорю с тобой каждый день .,1
You have access to the facts .,Vous avez accès aux faits .,У Вас есть доступ к фактам .,The facts are accessible to you .,Les faits vous sont accessibles .,Факты доступны вам .,0
Build environment Engineering Manufacturing Production ( all rate tooling ) ( 1st set of production tooling ),Construction de la fabrication de l' ingénierie de l' environnement ( tous les outils ) ( 1 er ensemble d' outils de production ),Построить производственное производственное производство ( все показатель инструменты ) ( 1-й набор производственных инструментов ),It is the first set of production tooling for manufacturing .,C' est la première série d' outils de production pour la fabrication .,Это первый набор производственных инструментов для производства .,0
"As long you have your own household in order , fretting about your neighbor 's spending habits is a lot like fretting about the color of his living-room rug .","Aussi longtemps que vous avez votre propre ménage dans l' ordre , s' inquiéter des habitudes de dépense de votre voisin est un peu comme s' inquiéter de la couleur de son tapis de salon .","До тех пор , пока у вас есть собственное домашнее хозяйство , вы беспокоитесь о том , что у вашего соседа есть привычки , как будто вы беспокоитесь о цвете его ковра .",You should worry about the color of your neighbor 's rug .,Vous devriez vous inquiéter de la couleur du tapis de votre voisin .,Тебе стоит беспокоиться о цвете ковра соседа .,2
yeah so um also of course they they can they join the they can always join the military service they are considered citizens i believe,Ouais donc hum aussi bien sûr ils peuvent se joindre à la ils peuvent toujours rejoindre le service militaire ils sont considérés citoyens je crois,"Да , так же , конечно , они могут присоединиться к тем , кто всегда может присоединиться к военной службе . Они считаются гражданами , которые я считаю .",They can 't join the military service,Ils ne peuvent pas rejoindre le service militaire .,Они не могут присоединиться к военной службе .,2
She smiled back .,Elle a souri .,Она улыбнулась .,She was so happy she couldn 't stop smiling .,Elle était si heureuse qu' elle ne pouvait pas arrêter de sourire .,"Она была так счастлива , что не могла перестать улыбаться .",1
"According to the Office of the Actuary at the Health Care Financing Administration , the estimated net present value of future additional resources needed to fund HI benefits alone over the 75 years is $ 4 .","D' après le bureau de l' actuaire auprès de l' administration du financement des soins de santé , la valeur actuelle nette estimée des ressources supplémentaires à venir nécessaires pour financer les prestations hi-fi au cours des 75 ans est de 4 4 dollars .","По данным управления в в управлении по финансированию здравоохранения , сметная чистая нынешняя стоимость будущих дополнительных ресурсов , необходимых для финансирования "" привет "" только в течение 75 лет , составляет 4 . 4. долл . США .",The net present value of future additional resources for funding HI benefits was $ 4 .,La valeur actuelle nette des futures ressources supplémentaires pour le financement des prestations hi s' élevait à 4 4 dollars .,"Чистая нынешняя стоимость будущих дополнительных ресурсов для финансирования "" привет "" составила 4 . 4 . 4. долл . США .",0
"Thus , with respect to the litigation services Congress has funded , there is no alternative channel for expression of the advocacy Congress seeks to restrict .","Ainsi , en ce qui concerne le congrès des services contentieux , il n' y a pas de voie alternative pour l' expression du congrès de plaidoyer .","Таким образом , что касается деятельности конгресса по судебным услугам , то не существует какого-либо альтернативного канала для выражения мнений в рамках информационно-пропагандистского конгресса .",This is the only channel of expression of the advocacy that Congress seeks to restrict .,C' est la seule voie d' expression du plaidoyer que le congrès cherche à restreindre .,"Это единственный канал выражения мнений , который конгресс стремится ограничить .",0
How do we fix this ? ',Comment on répare ça ? ' ' ' ' ' ' ',Как мы это исправим ? ' ' ',Can we fix this ?,Est-ce qu' on peut arranger ça ?,Мы можем это исправить ?,0
but that takes too much planning,Mais ça demande trop de planification .,Но это требует слишком большого планирования .,It doesn 't take much planning .,Il n' y a pas beaucoup de planification .,Это не требует большого планирования .,2
"I did not mention Monica in my lecture , but the first question I was asked was how President Clinton could do his job with all the distractions caused by the Monica Lewinsky affair .","Je n' ai pas mentionné Monica dans ma conférence , mais la première question qui m' a été posée était de savoir comment le Président Clinton pouvait faire son travail avec toutes les distractions causées par l' affaire Monica Lewinsky .","Я не упоминал монику в своей лекции , но первый вопрос , который мне задали , это как президент Клинтон мог делать свою работу со всеми в , которые были вызваны делом Моники Левински .",They wanted to get through the lecture without any problems .,Ils voulaient passer la conférence sans aucun problème .,Они хотели пройти лекцию без каких-либо проблем .,1
"Analyzing Postal Service accounts for depreciation , fuel , and maintenance for city delivery carriers , we have estimated the average city delivery vehicle cost per route .","En analysant les comptes des services postaux pour l' amortissement , le carburant et l' entretien des transporteurs urbains , nous avons estimé le coût moyen du véhicule de livraison par route .","Анализируя счета почтовой службы за амортизацию , топливо и обслуживание городских перевозчиков , мы , по оценкам , средняя стоимость городского транспортного средства по маршруту .",Driving cost estimates can be averaged will sufficient data .,Les estimations des coûts de conduite peuvent être calculées sur la base de données suffisantes .,Смета расходов на вождение в среднем может быть в среднем достаточной для получения данных .,1
Because it plays on my childhood imagination .,Parce que ça joue sur mon imagination d' enfance .,Потому что это играет на моем детском воображении .,The art plays on my young imagination .,L' Art joue sur ma jeune imagination .,Искусство играет на моем воображении .,1
it 's slow it 's uh there are many better machines on the market right now for,C' est lent c' est euh il y a beaucoup de meilleures machines sur le marché en ce moment pour,Это медленно . На рынке сейчас много лучших машин .,"This is the fastest machine , you won 't find a better machine .","C' est la machine la plus rapide , vous ne trouvez pas une meilleure machine .","Это самая быстрая машина , ты не найдешь машину получше .",2
"At the heart of the sanctuary , a small granite shrine once held the sacred barque of Horus himself .","Au cœur du sanctuaire , un petit sanctuaire de granit a autrefois tenu la barque sacrée d' Horus lui-même .","В самом сердце святилища , маленький гранит храм однажды держал священную барка самого гор .",Horus is a god .,Horus est un Dieu .,Гор - Бог .,1
Consider the United States Postal Service .,Considérez le service postal des États-Unis .,Рассмотрим почтовую службу Соединенных Штатов .,Forget the United States Postal Service .,Oubliez le service postal des États-Unis .,Забудьте о почтовой службе США .,2
In full costume .,En costume complet .,В полном костюме .,He is wearing a mascot costume .,Il porte un costume de mascotte .,На нем костюм талисмана .,1
"Although your journey is going to be difficult and at times you will doubt yourselves , the benefits to clients are well worth it and the satisfaction of hearing even the most recalcitrant of adversaries say that the new system is better than the one that went before is deeply rewarding .","Bien que votre voyage va être difficile et parfois vous allez douter de vous-même , les avantages pour les clients en valent bien la peine et la satisfaction d' entendre même les plus récalcitrants des adversaires disent que le nouveau système est meilleur que celui qui est allé avant est profondément c' est gratifiant .","Хотя ваше путешествие будет трудным и временами вы будете сомневаться в себе , выгоды для клиентов стоят того , и удовлетворение слышать даже самые непокорные противники говорят , что новая система лучше той , что была раньше , глубоко стоит . Вознаграждение .","The new system appears far more complex , but ultimately easier and more thorough .","Le nouveau système semble bien plus complexe , mais en fin de compte plus facile et plus approfondi .","Новая система представляется гораздо более сложной , но в конечном счете более легкой и более тщательной .",1
Take a remarkable statistic that Shesol cites but lets pass relatively unexamined .,Prenez une statistique remarquable que shesol cite mais laisse passer relativement peu d' examen .,"Возьмите замечательные статистические данные , которые shesol цитирует , но пропускает относительно неисследованные .",They had data that was very relevant but under used .,Ils avaient des données très pertinentes mais sous-utilisées .,"У них есть данные , которые весьма актуальны , но при этом используются .",0
"It might have seemed like manna from heaven - up to thousands of dollars dropping , often unexpectedly , into the hands of a half-million Kentucky and Indiana residents this month .","Cela aurait pu sembler une manne du ciel - jusqu' à des milliers de dollars qui tombent , souvent inopinément , entre les mains d' un demi-million de résidents du Kentucky et de l' Indiana ce mois-ci .","Это могло быть похоже на манну с небес - до тысячи долларов , падает , часто неожиданно , в руки полмиллиона жителей кентукки и индианы в этом месяце .",A recent law proposed by congress has resulted in the seizure of thousands of dollars from Kentucky residents .,Une loi récente proposée par le congrès a entraîné la saisie de milliers de dollars des résidents du Kentucky .,"Недавний закон , предложенный конгрессом , привел к конфискации тысяч долларов у жителей кентукки .",2
Get individuals to invest their time and the funding will follow .,Faites en sorte que les individus investissent leur temps et le financement suivra .,"Заставить людей инвестировать свое время , и финансирование последует за ними .","If individuals will invest their time , funding will come along , too .","Si les individus investissent leur temps , le financement viendra aussi .","Если люди будут тратить свое время , то и финансирование будет также .",0
